iter	Accuracy	MultiClass
0	0.7493297587	1.310517361
1	0.764075067	1.255365498
2	0.7895442359	1.200697812
3	0.8592493298	1.125459374
4	0.9302949062	1.058627692
5	0.9048257373	1.014864818
6	0.9034852547	0.9714478518
7	0.9356568365	0.9155043882
8	0.9262734584	0.8841274979
9	0.9209115282	0.8449677708
10	0.936997319	0.8142017364
11	0.9316353887	0.7873783575
12	0.9222520107	0.7619542698
13	0.9396782842	0.7206330013
14	0.9450402145	0.6953827834
15	0.9463806971	0.6688062228
16	0.9597855228	0.6353947988
17	0.9638069705	0.6110029047
18	0.9611260054	0.5943631497
19	0.9691689008	0.5719844756
20	0.9651474531	0.555378172
21	0.9758713137	0.5336580901
22	0.9839142091	0.511683148
23	0.9785522788	0.4967630697
24	0.9798927614	0.4769904477
25	0.9839142091	0.45437189
26	0.9839142091	0.4432762105
27	0.9839142091	0.4302215184
28	0.9839142091	0.4196224662
29	0.9825737265	0.4126362811
30	0.9825737265	0.3957758653
31	0.9865951743	0.3777375699
32	0.9892761394	0.3628706878
33	0.9919571046	0.347095681
34	0.9932975871	0.3392891528
35	0.9919571046	0.3332463325
36	0.9946380697	0.3222030699
37	0.9946380697	0.3078338916
38	0.9946380697	0.2998448748
39	0.9959785523	0.2858655354
40	0.9959785523	0.279155776
41	0.9959785523	0.2686451884
42	0.9959785523	0.2633963735
43	0.9959785523	0.2542822648
44	0.9959785523	0.2481574427
45	0.9959785523	0.2422366683
46	0.9959785523	0.2335223589
47	0.9973190349	0.225616188
48	0.9973190349	0.2192847779
49	0.9973190349	0.2120391317
50	0.9973190349	0.2033332426
51	0.9973190349	0.1973952488
52	0.9973190349	0.1896718673
53	0.9973190349	0.1877901727
54	0.9973190349	0.1813225153
55	0.9973190349	0.1764411414
56	0.9973190349	0.1735226535
57	0.9973190349	0.1661330243
58	0.9973190349	0.1612881481
59	0.9973190349	0.1558614576
60	0.9973190349	0.1503224641
61	0.9973190349	0.147039863
62	0.9973190349	0.1416572277
63	0.9973190349	0.1361857438
64	0.9973190349	0.1324850469
65	0.9973190349	0.1280791789
66	0.9986595174	0.1241922571
67	0.9986595174	0.1200704497
68	0.9986595174	0.117551159
69	0.9986595174	0.114048168
70	1	0.1109530217
71	1	0.108433849
72	1	0.1064766932
73	1	0.1032172251
74	1	0.1013606786
75	1	0.09806859772
76	1	0.09540281814
77	1	0.092316532
78	1	0.0901894778
79	1	0.08814557361
80	1	0.08653030055
81	1	0.08380849298
82	1	0.08223938723
83	1	0.07938337123
84	1	0.07768506359
85	1	0.07512243297
86	1	0.07354190188
87	1	0.07200776607
88	1	0.07088675005
89	1	0.06999874706
90	1	0.06894614839
91	1	0.06726544954
92	1	0.06517343303
93	1	0.06392488395
94	1	0.06227675876
95	1	0.06134479145
96	1	0.06032127611
97	1	0.05917496155
98	1	0.05783036445
99	1	0.0567457444
100	1	0.05629332826
101	1	0.05537006582
102	1	0.05460366536
103	1	0.05327088627
104	1	0.05218328639
105	1	0.05069346249
106	1	0.04958796851
107	1	0.04857660618
108	1	0.04751459089
109	1	0.04653655789
110	1	0.04542056444
111	1	0.0441491532
112	1	0.04344686982
113	1	0.04277347317
114	1	0.04241925258
115	1	0.04178923235
116	1	0.04066494999
117	1	0.03978449377
118	1	0.03893287807
119	1	0.0383930599
120	1	0.03750434618
121	1	0.03661205856
122	1	0.03580443411
123	1	0.03521370434
124	1	0.03437263646
125	1	0.03376907192
126	1	0.03326801088
127	1	0.03254965726
128	1	0.03180482849
129	1	0.03107320801
130	1	0.03043060529
131	1	0.02976480535
132	1	0.02910733979
133	1	0.02847048973
134	1	0.02803617738
135	1	0.02761047526
136	1	0.02736436951
137	1	0.02679785718
138	1	0.02640567106
139	1	0.02590776235
140	1	0.02538786434
141	1	0.02492313819
142	1	0.02444735553
143	1	0.02410239843
144	1	0.02367268932
145	1	0.02329131524
146	1	0.02291629983
147	1	0.02252185411
148	1	0.02212578603
149	1	0.02173055598
150	1	0.02140332544
151	1	0.02100725093
152	1	0.02061664091
153	1	0.02027343085
154	1	0.01995557212
155	1	0.01962986396
156	1	0.01932449241
157	1	0.01911649867
158	1	0.01882515282
159	1	0.01854432698
160	1	0.01830102173
161	1	0.01801619704
162	1	0.01780085064
163	1	0.01751155138
164	1	0.01723022594
165	1	0.017016865
166	1	0.0167453714
167	1	0.01647492009
168	1	0.01622194089
169	1	0.01599077081
170	1	0.01575944117
171	1	0.01556485473
172	1	0.01534064438
173	1	0.01513782299
174	1	0.01493445968
175	1	0.01474580395
176	1	0.0145358589
177	1	0.01437010608
178	1	0.01418171951
179	1	0.01400415569
180	1	0.01383061922
181	1	0.01365666253
182	1	0.01349563302
183	1	0.01333303968
184	1	0.01317351141
185	1	0.01300284682
186	1	0.01284125868
187	1	0.01269331011
188	1	0.01256568999
189	1	0.01245298832
190	1	0.01232537035
191	1	0.0121869555
192	1	0.01204784608
193	1	0.01191716242
194	1	0.01178812176
195	1	0.01165762048
196	1	0.01152431766
197	1	0.01138779464
198	1	0.01126966328
199	1	0.01114425015
200	1	0.01103844929
201	1	0.01092180385
202	1	0.01079745536
203	1	0.0106900034
204	1	0.01058478936
205	1	0.01048282493
206	1	0.01037870556
207	1	0.0102759999
208	1	0.01016791117
209	1	0.01005874637
210	1	0.009965483923
211	1	0.009856073184
212	1	0.009753944942
213	1	0.009652730353
214	1	0.009549481122
215	1	0.009463769433
216	1	0.009370710029
217	1	0.009288199464
218	1	0.009220590674
219	1	0.009125978576
220	1	0.009045553672
221	1	0.008953699561
222	1	0.008883453517
223	1	0.008808163727
224	1	0.008742613393
225	1	0.008675341435
226	1	0.00860241475
227	1	0.008532577083
228	1	0.008462783121
229	1	0.008392645078
230	1	0.00832994971
231	1	0.008268224239
232	1	0.008201954526
233	1	0.008137943495
234	1	0.008078347214
235	1	0.00801397105
236	1	0.007940242068
237	1	0.007867771282
238	1	0.007807707378
